file,class,method,constructor,line,cbo,cboModified,fanin,fanout,wmc,rfc,loc,returnsQty,variablesQty,parametersQty,methodsInvokedQty,methodsInvokedLocalQty,methodsInvokedIndirectLocalQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty,hasJavaDoc
D:\BilalModel\bilal\OOP\Ijaz\eclipse.jdt.ls\org.eclipse.jdt.ls.core\src\org\eclipse\jdt\ls\core\internal\corext\refactoring\rename\RenameTypeProcessor.java,org.eclipse.jdt.ls.core.internal.corext.refactoring.rename.RenameTypeProcessor,addConstructorRenames/1[org.eclipse.jdt.ls.core.internal.corext.refactoring.rename.TextChangeManager],false,1241,6,3,2,1,4,14,17,0,9,1,14,0,0,1,0,0,0,0,1,9,0,3,0,0,0,28,2,0,false
D:\BilalModel\bilal\OOP\Ijaz\eclipse.jdt.ls\org.eclipse.jdt.ls.core\src\org\eclipse\jdt\ls\core\internal\corext\refactoring\rename\RenameTypeProcessor.java,org.eclipse.jdt.ls.core.internal.corext.refactoring.rename.RenameTypeProcessor,setUpdateReferences/1[boolean],false,358,0,1,1,0,1,0,3,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,5,1,0,false
D:\BilalModel\bilal\OOP\Ijaz\eclipse.jdt.ls\org.eclipse.jdt.ls.core\src\org\eclipse\jdt\ls\core\internal\corext\refactoring\rename\RenameTypeProcessor.java,org.eclipse.jdt.ls.core.internal.corext.refactoring.rename.RenameTypeProcessor,checkForMethodsWithConstructorNames/0,false,891,3,2,1,1,4,5,13,2,3,0,5,0,0,1,1,0,0,0,1,3,0,2,0,0,0,13,2,0,false
D:\BilalModel\bilal\OOP\Ijaz\eclipse.jdt.ls\org.eclipse.jdt.ls.core\src\org\eclipse\jdt\ls\core\internal\corext\refactoring\rename\RenameTypeProcessor.java,org.eclipse.jdt.ls.core.internal.corext.refactoring.rename.RenameTypeProcessor,"createNonVirtualMethodRenameProcessor/2[org.eclipse.jdt.ls.core.internal.corext.refactoring.rename.IMethod,java.lang.String]",false,1755,4,3,1,2,1,1,5,1,1,2,1,1,2,0,0,0,0,0,0,1,0,0,0,0,0,11,2,0,false
D:\BilalModel\bilal\OOP\Ijaz\eclipse.jdt.ls\org.eclipse.jdt.ls.core\src\org\eclipse\jdt\ls\core\internal\corext\refactoring\rename\RenameTypeProcessor.java,org.eclipse.jdt.ls.core.internal.corext.refactoring.rename.RenameTypeProcessor,addTypeDeclarationUpdate/1[org.eclipse.jdt.ls.core.internal.corext.refactoring.rename.TextChangeManager],false,1234,4,3,2,1,1,8,6,0,3,1,8,0,0,0,0,0,0,0,0,3,0,0,0,0,0,20,2,0,false
D:\BilalModel\bilal\OOP\Ijaz\eclipse.jdt.ls\org.eclipse.jdt.ls.core\src\org\eclipse\jdt\ls\core\internal\corext\refactoring\rename\RenameTypeProcessor.java,org.eclipse.jdt.ls.core.internal.corext.refactoring.rename.RenameTypeProcessor,"addSimilarElementsTextualUpdates/2[org.eclipse.jdt.ls.core.internal.corext.refactoring.rename.TextChangeManager,org.eclipse.jdt.ls.core.internal.corext.refactoring.rename.IProgressMonitor]",false,1800,7,3,1,2,8,15,28,0,10,2,15,0,0,2,1,0,0,0,1,10,0,3,0,0,0,68,2,0,true
D:\BilalModel\bilal\OOP\Ijaz\eclipse.jdt.ls\org.eclipse.jdt.ls.core\src\org\eclipse\jdt\ls\core\internal\corext\refactoring\rename\RenameTypeProcessor.java,org.eclipse.jdt.ls.core.internal.corext.refactoring.rename.RenameTypeProcessor,getNewElement/0,false,293,2,3,1,2,2,5,8,2,0,0,5,1,2,0,0,0,0,0,0,0,0,1,0,0,0,9,1,0,false
D:\BilalModel\bilal\OOP\Ijaz\eclipse.jdt.ls\org.eclipse.jdt.ls.core\src\org\eclipse\jdt\ls\core\internal\corext\refactoring\rename\RenameTypeProcessor.java,org.eclipse.jdt.ls.core.internal.corext.refactoring.rename.RenameTypeProcessor,initializeReferences/1[org.eclipse.jdt.ls.core.internal.corext.refactoring.rename.IProgressMonitor],false,618,18,8,1,7,27,37,101,2,22,1,37,3,1,4,8,1,7,1,2,34,0,7,0,0,0,101,1,0,true
D:\BilalModel\bilal\OOP\Ijaz\eclipse.jdt.ls\org.eclipse.jdt.ls.core\src\org\eclipse\jdt\ls\core\internal\corext\refactoring\rename\RenameTypeProcessor.java,org.eclipse.jdt.ls.core.internal.corext.refactoring.rename.RenameTypeProcessor,"getImportedType/2[org.eclipse.jdt.ls.core.internal.corext.refactoring.rename.ICompilationUnit,java.lang.String]",false,880,2,1,1,0,3,3,10,2,3,2,3,0,0,1,0,0,0,1,1,3,1,2,0,0,0,16,10,0,false
D:\BilalModel\bilal\OOP\Ijaz\eclipse.jdt.ls\org.eclipse.jdt.ls.core\src\org\eclipse\jdt\ls\core\internal\corext\refactoring\rename\RenameTypeProcessor.java,org.eclipse.jdt.ls.core.internal.corext.refactoring.rename.RenameTypeProcessor,"doCheckFinalConditions/2[org.eclipse.jdt.ls.core.internal.corext.refactoring.rename.IProgressMonitor,org.eclipse.jdt.ls.core.internal.corext.refactoring.rename.CheckConditionsContext]",false,483,10,17,0,17,23,35,95,7,8,2,35,16,22,0,0,1,0,3,23,10,1,3,0,0,0,72,4,0,false
